Term	S.150116.00011	S.150116.00035	S.150116.00048	S.150116.00061	S.150116.00082	S.150116.00111	S.150116.00124	S.150116.00159	S.150116.00188	S.150116.00200	S.150116.00217	S.150116.00242	S.150116.00255	S.150116.00275	S.150116.00311	S.150116.00320	S.150116.00356	S.150116.00370	S.150116.00389	S.150116.00437	S.150116.00451	S.150116.00465	S.150116.00488	S.150116.00518	S.150116.00532	S.150116.00551	S.150116.00577	S.150116.00591	S.150116.00613	S.150116.00649	S.150120.00001	S.150120.00014	S.150120.00027	S.150120.00047	S.150120.00077_2	S.150120.00090	S.150120.00124	S.150120.00154	S.150120.00166	S.150120.00183	S.150120.00208	S.150120.00221	S.150120.00241	S.150127.00007	S.150127.00052	S.150127.00066	S.150127.00085	S.150127.00133	S.150127.00147	S.150127.00161	S.150127.00183	S.150127.00214	S.150127.00228	S.150127.00247	S.150127.00273	S.150127.00287	S.150127.00309	S.150211.00007	S.150211.00016	S.150211.00052	S.150211.00066	S.150211.00080	S.150211.00102	S.150211.00133	S.150211.00147	S.150211.00161	S.150211.00183	S.150211.00214	S.150211.00228	S.150211.00247	S.150211.00273	S.150211.00287	S.150211.00309	S.150303.00011	S.150306.00001	S.150306.00014	S.150306.00027	S.150306.00047	S.150306.00077	S.150306.00090	S.150306.00124	S.150306.00154	S.150306.00166	S.150306.00183	S.150306.00208	S.150306.00221	S.150306.00241	S.150326.00007	S.150323.00054	S.150323.00068	S.150323.00090	S.150323.00121	S.150323.00135	S.150323.00149	S.150323.00171	S.150323.00202	S.150323.00216	S.150323.00235	S.150323.00261	S.150323.00297	S.150331.00007	S.150331.00016	S.150331.00052	S.150331.00066	S.150331.00080	S.150331.00102	S.150331.00133	S.150331.00161	S.150331.00183	S.150331.00214	S.150331.00228	S.150331.00247	S.150331.00273	S.150331.00309	S.150514.00652	S.150514.00697	S.150514.00711	S.150514.00725	S.150514.00748	S.150514.00778	S.150514.00806	S.150514.00829	S.150514.00859	S.150514.00873	S.150514.00892	S.150514.00918	S.150514.00954	S.150518.00032	S.150518.00056	S.150518.00069	S.150518.00082	S.150518.00102	S.150518.00132	S.150518.00145	S.150518.00179	S.150518.00209	S.150518.00221	S.150518.00238	S.150518.00263	S.150518.00276	S.150518.00296	S.150707.00086	S.150701.01629	S.150701.01665	S.150701.01679	S.150701.01693	S.150701.01800	S.150701.01767	S.150701.01830	S.150701.01867	S.150701.01897	S.150702.00031	S.150702.00057	S.150702.00071	S.150702.00093	S.150714.00007	S.150710.00086	S.150710.00100	S.150710.00137	S.150710.00167	S.150710.00181	S.150710.00195	S.150710.00218	S.150710.00248	S.150710.00262	S.150710.00281	S.150710.00307	S.150710.00321	S.150710.00343	S.150720.00007	S.150720.00031	S.150720.00044	S.150720.00057	S.150720.00077	S.150720.00107	S.150720.00120	S.150720.00154	S.150720.00184	S.150720.00196	S.150720.00213	S.150720.00238	S.150720.00251	S.150720.00271	S.150813.00007	S.150811.00039	S.150811.00075	S.150811.00089	S.150811.00103	S.150811.00126	S.150811.00156	S.150811.00170	S.150811.00184	S.150811.00207	S.150811.00237	S.150811.00251	S.150811.00270	S.150811.00296	S.150811.00310	S.150811.00332	S.150826.00049	S.150826.00073	S.150826.00086	S.150826.00099	S.150826.00119	S.150826.00149	S.150826.00162	S.150826.00196	S.150826.00226	S.150826.00238	S.150826.00255	S.150826.00293	S.150826.00313	S.150911.00105	S.150911.00114	S.150911.00150	S.150911.00164	S.150911.00178	S.150911.00200	S.150911.00231	S.150911.00245	S.150911.00326	S.150911.00345	S.150911.00371	S.150911.00385	S.150911.00407	S.150928.00040	S.150923.00139	S.150923.00208	S.150923.00270	S.150923.00284	S.150923.00306	S.150923.00337	S.150923.00370	S.150923.00401	S.151015.00007	S.151015.00031	S.151015.00057	S.151015.00077	S.151015.00107	S.151015.00120	S.151015.00133	S.151015.00154	S.151015.00184	S.151015.00196	S.151015.00243	S.151015.00251	S.151015.00271	S.151030.00007	S.151030.00057	S.151030.00077	S.151030.00107	S.151030.00120	S.151030.00154	S.151030.00184	S.151030.00243	S.151120.00071	S.151105.00015	S.151105.00051	S.151105.00065	S.151105.00079	S.151105.00102	S.151105.00132	S.151105.00146	S.151105.00160	S.151105.00183	S.151105.00213	S.151105.00227	S.151105.00246	S.151105.00272	S.151105.00286	S.151105.00308	S.151202.00010	S.151202.00040	S.151202.00054	S.151202.00068	S.151202.00090	S.151202.00121	S.151202.00135	S.151202.00171	S.151202.00216	S.151202.00235	S.151202.00297	S.151218.00007	S.151218.00031	S.151218.00044	S.151218.00057	S.151218.00077	S.151218.00107	S.151218.00120	S.151218.00133	S.151218.00154	S.151218.00184	S.151218.00196	S.151218.00213	S.151218.00238	S.151218.00251	S.151218.00271	S.160113.00013	S.160112.00054	S.160112.00068	S.160112.00090	S.160112.00121	S.160112.00207	S.160112.00216	S.160112.00235	S.160112.00261	S.160112.00275	S.160112.00297	S.160111.00036	S.160112.00330	S.160112.00366	S.160112.00380	S.160112.00394	S.160112.00416	S.160112.00447	S.160112.00461	S.160112.00475	S.160112.00497	S.160112.00528	S.160112.00542	S.160112.00561	S.160112.00587	S.160112.00601	S.160112.00623	S.160208.00486	S.160204.00031	S.160204.00067	S.160204.00081	S.160204.00095	S.160204.00117	S.160204.00148	S.160204.00162	S.160204.00176	S.160204.00198	S.160204.00229	S.160204.00243	S.160204.00262	S.160204.00288	S.160204.00302	S.160204.00324	S.160218.00007	S.160218.00031	S.160218.00044	S.160218.00057	S.160218.00077	S.160218.00107	S.160218.00120	S.160218.00154	S.160218.00184	S.160218.00196	S.160218.00213	S.160218.00238	S.160218.00251	S.160218.00271	S.160225.00936	S.160225.01014	S.160225.01062	S.160225.01076	S.160225.01090	S.160225.01112	S.160225.01143	S.160225.01176	S.160225.01202	S.160225.01216	S.160225.01238	S.160310.00007	S.160310.00016	S.160310.00052	S.160310.00080	S.160310.00102	S.160310.00133	S.160310.00147	S.160310.00161	S.160310.00228	S.160310.00247	S.160310.00273	S.160310.00287	S.160310.00309	S.160405.00052	S.160405.00066	S.160405.00080	S.160405.00102	S.160405.00133	S.160405.00147	S.160405.00161	S.160405.00183	S.160405.00214	S.160405.00228	S.160405.00247	S.160405.00273	S.160405.00287	S.160525.00051	S.160525.00087	S.160525.00101	S.160525.00115	S.160525.00137	S.160525.00168	S.160525.00196	S.160525.00218	S.160525.00249	S.160525.00263	S.160525.00282	S.160525.00308	S.160525.00322	S.160525.00344	S.160225.00981.redo	S.160310.00066.redo	S.160310.00183.redo	S.160310.00214.redo	S.160405.00007.redo	S.160405.00016.redo	S.160405.00309.redo	S.160525.00042.redo	S.160525.00182.redo
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6449694309917e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172699965460007	5.4330021732008e-4	0.0039487	0.00247369975263002	0.00153319969336006	0.00181700054510016	0.00151869984813002	0.0105993010599301	0	0	0	0	0	0	0	0	5.34999839500048e-5	0	3.97000119100036e-5	3.29999967000003e-5	1.8619994414001e-4	4.08000122400037e-5	2.8490005698001e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0151991	0.0136252800281768	8.42849845499217e-5	0.00143579956926013	0.0205085979491402	0.0247482975251702	0.0078280023484007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0839461748161476	0.096455109645511	0.00590790118158024	0.0329568	0	0	0	0	0	6.4880012976002e-4	9.6160028848008e-4	0	1.0580005290002e-4	0	7.2120021636006e-4	0	0	0	0	0	0	0	0.0165199656279361	0.0226516977348302	0.0201477	0.0200046160804675	0.0294558088367427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00580550174165052	0.00713519928648007	0.00457519954248005	0.00820460246138074	0.0180870963825807	0.00767469846506031	0.00834499833100033	0.0040127	0	0	0	0	0	0	0	0	0.00197749980225002	0.00208029937591019	0.00234879976512002	6.2169968915015e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00270411421460736	0.00287935646483058	0.00768329923167008	9.2470009247e-4	0.00364704293707616	0.00944549702260746	0.00981750196350039	0.0523878068644367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135477192055672	0.00107529989247001	2.5152042345838e-4	2.5570002557e-4	0	0	0	0	0	0	0	0	0	0.0030593973734247	0.00111329988867001	2.11063255657721e-5	0.0018427	0.00402639919472016	0.00377821535827542	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39000043900004e-5	0	8.04050574781154e-5	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.286221262702e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7550015020006e-4	2.842e-4	0	6.5859986828002e-4	0	0	5.4430005443e-4	0	0	0	0	0	0	0	0	0	5.49999945000005e-5	1.4780004434001e-4	3.3759996624e-4	6.21999813400056e-5	8.8500026550008e-5	3.74000074800015e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017285	9.3688717980912e-4	0	4.9329985201004e-4	0.00266189973381003	0.00194859980514002	0.00230690069207021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.66000093200019e-5	0	0	1.1320005660002e-4	0	4.5450013635004e-4	0	0	0	0	0	0	0	0.00120704505224107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125999974800005	3.8259992348001e-4	8.3739983252003e-4	0	0	0	0	0	0	0	0	0	0	0	7.319999268e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00094264407963e-6	0.00187289981271002	9.8000009800001e-6	2.0094949135536e-4	0.00224542228522354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.38080972475407e-5	3.1149996885e-4	7.67062285457579e-5	0	0	0	0	0	0	0	0	0	0	3.9033794084785e-4	4.259999574e-4	0	0	1.25999974800005e-5	0.00118476753174931	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1770001177e-4	0	9.53059947470696e-5	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.656e-4	8.9797557354002e-4	0	4.3849986845003e-4	0.00172739982726002	0.00146829985317001	0.00155870046761014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1760604939797e-4	8.1598441025567e-4	0.00205769979423002	3.2490003249e-4	6.3740858100408e-4	0.00400093061646139	0.00403570080714016	0.00585823105850436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.30000146000029e-5	0	0	0	0	0	0	0	1.4409998559e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.94000268200081e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57999914200009e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1209997758e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0	0	0	0	0	0	1.3289997342e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3169995366e-4	2.4739995052001e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0010001001e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6600009660001e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.053e-4	0	4.309e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0404746143953e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.31999926800007e-5	0	0	1.6379998362e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76283787393176e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182189981781002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164669950599015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2590002259e-4	9.4900009490001e-5	0.00974009805198039	0	0	0	0	3.2572561896136e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3559997644e-4	1.7959994612001e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.40463460393282e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52000180800072e-5	0	0	2.8730207352598e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14e-5	0	0	0	8.00999439300392e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67000110100033e-5	0	0	0	0	0	0	5.26000105200021e-5	0	0	4.108218968071e-4	0	0	1.3609997278e-4	0	0	0	0	0	0	0	0	0	2.129e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.567e-4	0	0	0	0	0	0	1.6475354490209e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001081	0.00238579976142002	0	4.3285332752995e-4	0	0	2.22104633492839e-5	0	1.15000011500001e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1961517916623e-4	0	7.60061717011421e-6	0	0	1.5890001589e-4	0.00596800059680006	0	0.0151783030356606	0.00328011400739547	0.00270850027085003	4.6299986110004e-4	1.28999987100001e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.19e-5	1.2640001264e-4	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02074175538426e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7989993201e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0240001024e-4	1.9910001991e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93999980600002e-5	0	0	0	6.30310617072093e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.43999905600009e-5	0	0	7.40000296000118e-5	1.61999951400015e-5	8.00000080000008e-6	0	0	0	0	0	0	0	0	0	5.9e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.50000195000058e-5	0	0	0	0	0	0	3.98000079600016e-5	0	0	4.5532426878352e-4	2.65999973400003e-5	0	7.04999859000028e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.77e-5	2.14914064854659e-5	4.7797545230306e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.80265928336951e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0769984769004e-4	0.0226638977336102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022452	0	0
