	CR.20.CE.Day0	CR.20.Stool.Day0	CR.21.CE.Day0	CR.21.Stool.Day0	CR.22.CE.Day0	CR.22.Stool.Day0	CR.23.CE.Day0	CR.23.Stool.Day0	Env.10.CE.Day1	Env.11.CE.Day1	Env.11.Stool.Day0	Env.12.CE.Day1	Env.12.Stool.Day0	Env.13.CE.Day1	Env.13.Stool.Day0	Evn.10.Stool.Day0	Jax.40.CE.Day1	Jax.40.Stool.Day0	Jax.41.CE.Day1	Jax.41.Stool.Day0	Jax.42.CE.Day1	Jax.42.Stool.Day0	Jax.43.CE.Day1	Jax.43.Stool.Day0	Tac.30.CE.Day1	Tac.30.Stool.Day0	Tac.31.CE.Day1	Tac.31.Stool.Day0	Tac.32.CE.Day1	Tac.32.Stool.Day0	Tac.33.CE.Day1	Tac.33.Stool.Day0
CR.20.CE.Day0	0	0.1270917368703787	0.04887775578226275	0.11688599374703015	0.04550280376239615	0.10109903542985128	0.08552619369982023	0.1548004887712876	0.3042238607232858	0.2601138140335849	0.21910691477977384	0.1971204514584134	0.24328527989246931	0.22725456316425352	0.20376342430256972	0.25121223580785035	0.4688619103059022	0.5990502202500865	0.4495268633078542	0.5521262466943258	0.4696713029796914	0.5551185137278061	0.3846684919933777	0.40265302226221306	0.368392177674118	0.42009710687166735	0.367434980298228	0.38877625928593407	0.3689120890496735	0.405277241147353	0.3465826442148522	0.3959202381212393
CR.20.Stool.Day0	0.1270917368703787	0	0.12626596072215837	0.148543855892216	0.1293801372495903	0.14840517941660802	0.1599203704208538	0.15742229376603073	0.3663702203610517	0.3005153714205381	0.23167620182738613	0.2250559985642508	0.22514017590913793	0.27720685642922516	0.17328685465714455	0.17167480177393407	0.48422970876248583	0.6076909793758332	0.48589397540425133	0.5358481219156626	0.4764945306903538	0.5711185303828296	0.40521418114285707	0.3991599254278815	0.4219182822571027	0.4749921164861622	0.42111071159857905	0.45038914459990315	0.4244891920930115	0.4398582689362954	0.39829791116180263	0.452600359306095
CR.21.CE.Day0	0.04887775578226275	0.12626596072215837	0	0.13139123434125768	0.04791661855478146	0.12090016861076244	0.08165596648507424	0.14021648456998675	0.3173824081635495	0.26805837260431575	0.23590092912559385	0.20699775557255515	0.2540811617219272	0.23501845367963972	0.20060473185222943	0.2433652284725653	0.4778149074352808	0.6075012469248139	0.46649207766555745	0.5590953273291348	0.47976452573961453	0.5700321771807337	0.39539713033819346	0.41847820782465744	0.3860189584412399	0.431352332911708	0.3860949592906111	0.4040363955380044	0.3879534621948278	0.4238471800833951	0.364601160053749	0.4067190773895156
CR.21.Stool.Day0	0.11688599374703015	0.148543855892216	0.13139123434125768	0	0.12000512096552218	0.06063514842589016	0.17997159313092675	0.22707107626315268	0.24362785011608865	0.20114673193238172	0.16062120448121975	0.15652154090358977	0.2149673712946632	0.1716110032415228	0.19807216230182947	0.2556100571769844	0.4280030344377854	0.5568577140047705	0.4057284848908855	0.5101037941558412	0.42949631801491417	0.5159344055109012	0.34372310405287343	0.35811824073458903	0.30206112295137033	0.3583448807998364	0.2984514061733521	0.32719518794681407	0.30746721252245185	0.3529855606952651	0.2836134508133365	0.33323699737398643
CR.22.CE.Day0	0.04550280376239615	0.1293801372495903	0.04791661855478146	0.12000512096552218	0	0.09624166511869632	0.09304060232157708	0.1564290957582124	0.29607118569766894	0.24860867475531373	0.2177900544320297	0.1910095541482908	0.2350717494929224	0.21807477539688336	0.19907311668678496	0.24709330595864537	0.4640058347216366	0.5925304350752413	0.447423126157172	0.5461600429005606	0.4650805807097403	0.5567824451556127	0.3748904285106366	0.3974786471072797	0.3659287550250837	0.4103408370402575	0.36627305393132253	0.3826117816254559	0.3685473657723187	0.40321207769829737	0.3438073884766491	0.3846802101484471
CR.22.Stool.Day0	0.10109903542985128	0.14840517941660802	0.12090016861076244	0.06063514842589016	0.09624166511869632	0	0.15645679967360293	0.21735087168822084	0.2525597744867745	0.21433822965835805	0.17379085864419347	0.15873812208529864	0.21854292210889192	0.17841128969441858	0.20477046098578416	0.2601867952147606	0.44174965103234887	0.5668212712943741	0.4185424472266685	0.5247795916254325	0.4429148701986893	0.5262567762971004	0.34907322121258444	0.37195451977184935	0.3106545570358061	0.3637266393996552	0.31012087857143217	0.3356509893406155	0.31188224139561493	0.35553260885924043	0.29369875935221573	0.3362893342053943
CR.23.CE.Day0	0.08552619369982023	0.1599203704208538	0.08165596648507424	0.17997159313092675	0.09304060232157708	0.15645679967360293	0	0.11609065743521237	0.33859968070417923	0.3031350442194592	0.27340893975096836	0.23995339956574097	0.289228989517834	0.2730841274321496	0.23958455662950223	0.26706555032319285	0.5133992513106592	0.6321077666009474	0.5001363185643934	0.5880530865600133	0.516371518273019	0.5929955096316757	0.43311626052031427	0.45243581016509105	0.4028789723371296	0.4512781749008672	0.4017622358968769	0.42576509717330713	0.4037796594074878	0.4394459377606623	0.3808961758912904	0.4311423656104044
CR.23.Stool.Day0	0.1548004887712876	0.15742229376603073	0.14021648456998675	0.22707107626315268	0.1564290957582124	0.21735087168822084	0.11609065743521237	0	0.430905925013534	0.37742393358457266	0.3302361773434519	0.3093317116433151	0.3175320054981037	0.35449678228297243	0.27110787214940485	0.25810768812317675	0.5566368200333458	0.6568039858913012	0.5581765490746441	0.6066836220634866	0.5568470755653928	0.6265600513204879	0.49971558365833424	0.4989057237066685	0.4903257436478456	0.5435588025158372	0.4868768923564057	0.519480316572456	0.49248142140125745	0.5103133136070932	0.4687435091875321	0.5209682355203015
Env.10.CE.Day1	0.3042238607232858	0.3663702203610517	0.3173824081635495	0.24362785011608865	0.29607118569766894	0.2525597744867745	0.33859968070417923	0.430905925013534	0	0.12971886989911474	0.21144203659555977	0.2201196182549538	0.3019245085551564	0.15292611514933074	0.2984546814007242	0.3644910785686566	0.37803136609251753	0.4982928702265555	0.34396065439167706	0.5033672408888379	0.3812348636951288	0.45670357222156854	0.2973543098507022	0.34369829907538263	0.16220120159168952	0.20470053138702535	0.15184759304700754	0.15726961589341384	0.18702640577254365	0.307909394128459	0.13905652274233565	0.1641687540599983
Env.11.CE.Day1	0.2601138140335849	0.3005153714205381	0.26805837260431575	0.20114673193238172	0.24860867475531373	0.21433822965835805	0.3031350442194592	0.37742393358457266	0.12971886989911474	0	0.14773674968913517	0.17664372674436363	0.24105061953233775	0.11281315023419	0.2406334067295693	0.29326647314057896	0.3552145691172448	0.48854928420400767	0.3314202628003128	0.4435810866951084	0.35442713242042834	0.45366526400811186	0.2495051131779294	0.2743352835492669	0.20820440589321887	0.24376932370274215	0.20302749662148503	0.2158877189053681	0.22068463050179687	0.30202739557100944	0.18034409014491004	0.22810028790642292
