# Constructed from biom file
#OTU ID	CR.20.CE.Day0	CR.20.Stool.Day0	CR.21.CE.Day0	CR.21.Stool.Day0	CR.22.CE.Day0	CR.22.Stool.Day0	CR.23.CE.Day0	CR.23.Stool.Day0	Env.10.CE.Day1	Env.11.CE.Day1	Env.11.Stool.Day0	Env.12.CE.Day1	Env.12.Stool.Day0	Env.13.CE.Day1	Tac.33.CE.Day1	Evn.10.Stool.Day0	Jax.40.CE.Day1	Jax.40.Stool.Day0	Jax.41.CE.Day1	Jax.41.Stool.Day0	Jax.42.CE.Day1	Jax.42.Stool.Day0	Jax.43.CE.Day1	Jax.43.Stool.Day0	Tac.30.CE.Day1	Tac.30.Stool.Day0	Tac.31.CE.Day1	Tac.31.Stool.Day0	Tac.32.CE.Day1	Tac.32.Stool.Day0	Env.13.Stool.Day0	Tac.33.Stool.Day0
fbd67349783ebeacc69814257b694d56	0	0	0	0	23	0	16	0	0	0	15	0	0	0	1807	0	0	0	0	0	0	0	0	0	1643	2424	3411	1933	4644	6146	22	2486
7b28c20e72c6c95b3e604f0849245770	0	14	7	0	6	0	0	0	0	83	345	38	2287	316	27	109	12636	20846	11045	17188	9961	17285	5837	5005	0	0	21	55	7	17	49	7
e4ef1c7b616eb842c0ff7a327e83bd76	0	6	20	0	9	0	13	0	0	93	47	55	28	26	1001	192	0	0	0	0	0	0	0	0	957	1226	2224	1423	3112	5123	62	2132
fdbff060c0adc3184b21540df9bbbee1	7	5	0	0	0	0	0	0	518	1253	2413	4154	2767	2319	110	3149	4	0	0	0	0	23	0	0	29	0	103	92	32	246	3211	75
1930d2ae4018583d606e705beea31bd1	253	326	449	197	152	122	177	213	30	268	602	364	462	386	183	487	0	0	0	0	0	0	11	0	0	15	41	82	19	43	589	38
9fd2ab2f88f10ef6d386289b4ce9b85d	8764	4148	8228	3204	5252	4013	8217	9055	39	139	0	14	0	122	0	0	0	26	12	0	0	6	185	0	0	0	0	0	0	0	0	0
07b148ebe6cc2c05b1faa8d187c51114	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1358	8	0	0	0	0	0	0	0	0	1097	5092	1431	1725	4060	11192	10	3069
1dde417c45171347b0ec07088aa49839	107	0	80	0	22	14	0	0	17	93	546	0	361	0	414	414	0	0	0	0	0	0	0	0	0	47	24	0	34	47	298	0
5292f29cab69c370997bcb039ef68d64	846	448	1498	180	467	349	569	383	145	319	477	1117	678	1518	19	527	0	0	0	0	0	7	31	0	7	0	17	17	10	27	419	20
e4597f1dce864c29882fa64f616d1a6c	392	463	396	171	208	133	382	309	37	76	184	358	154	158	0	139	0	0	0	0	0	0	18	0	0	0	14	11	0	0	385	0
3b464b2c3ef760585938966db87f55c3	222	111	1423	2497	315	482	40	99	675	765	1776	2064	541	181	945	311	0	0	0	0	0	0	0	0	783	1229	3791	3820	739	1596	1318	3560
91c6bd1773aaec302882b43aff6babc4	0	0	0	0	0	0	0	0	0	0	671	149	348	101	0	579	0	0	0	0	0	0	0	0	0	0	0	87	0	0	375	0
9c6688b479e664fa9d070647653e49ed	138	112	324	167	811	624	81	114	58	1061	175	92	219	732	2964	140	0	0	0	0	0	0	0	0	1312	3554	2636	4976	1353	1664	70	1009
0c1328b680e719088d574634057e9944	4	0	0	0	0	7	0	0	103	552	887	1851	1462	125	45	1338	0	0	0	0	0	0	0	0	22	0	32	86	10	46	1074	16
83675d30639c20d61e9f59c2b956ee5b	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1195	0	0	0	0	0	0	0	0	0	1020	1864	2269	2814	1362	606	14	4551
8da18b476b64f6f053647455b6890f80	251	119	301	102	194	128	105	90	87	88	85	133	79	476	437	84	154	15	189	19	207	46	213	75	486	747	1059	1142	1361	287	125	1274
b3c1eaa9ba2f7365d1002b968c2e965a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3454	2907	2135	4468	2703	1962	2153	3178	0	0	0	0	0	0	0	0
1328ddadac3f2d08eb25e79a18f7e574	0	0	0	0	12	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	364	874	13	0
